뉴스 식별자,일자,언론사,기고자,제목,본문,URL
01100101.20160511141150693,20160511,경향신문,김정훈 기자 jhkim@kyunghyang.com,"경남도, ‘투자자 이탈’ 진해글로벌테마파크 포기 선언","경남도는 11일 “진해 글로벌테마파크 조성사업을 추진하지 않기로 했다”고 밝혔다.

서일준 문화관광체육국장은 이날 도청 프레스센터에서 가진 브리핑에서 “정부의 복합리조트 공모사업 탈락 이후 투자자들의 이탈로 사업을 추진하지 않기로 했다”고 말했다. 경남도가 사업을 추진한 지 3년 만에 포기를 선언한 것이다.

진해 글로벌테마파크 사업은 부산진해경제자유구..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605111408001&code=620116
01101001.20160511210044878,20160511,한겨레,최상원,경남도 ‘진해 테마파크’ 독자추진 포기,"경남도가 정부 지원 사업에서 탈락한 진해 글로벌 테마파크 조성사업을 독자적으로 추진하겠다던 방침을 두달여 만에 포기했다. 사업타당성과 실현가능성을 구체적으로 따져보지도 않은 상태에서 섣불리 독자추진 방침을 내놨다는 비판을 피하기 어려워 보인다.

 서일준 경남도 문화관광체육국장은 11일 경남도청 프레스센터에서 기자회견을 열어 “진해 글로벌 테마파크 조성..",http://www.hani.co.kr/arti/society/area/743484.html
01100201.20160512100744001,20160512,국민일보,김영석 기자,"“오세훈, 총선 패배 불구 상승세 지속...3위 유지”","여론조사 전문기관 리얼미터(대표 이택수)가 2016년 5월 9일부터 11일까지 3일간 무선전화(61%)와 유선전화(39%)로 전국 1,510명을 대상으로 실시한 주중집계에서 여야 차기 대선주자 지지도의 경우 주초 전북을 방문한 것이 언론에 알려진 문재인 더불어민주당 전 대표가 지난주 주간집계 대비 26.2%로 0.9%p 하락했으나, 2위 안철수 국민의당..",http://news.kmib.co.kr/article/view.asp?arcid=0010608513&code=61111111&cp=kd
01100101.20160512121805285,20160512,경향신문,김정훈 기자 jhkim@kyunghyang.com,"더민주당 당선자들 “경남도정, 머리 맞대자” 제안","더불어민주당 민홍철(김해갑) 김경수(김해을) 서형수(양산을) 국회의원 당선자는 12일 “견제와 균형이 살아있는 지역정치 복원으로 경남의 변화를 이끌겠다”며 “각 지역 대표인 당선자들과 경남도가 소통하고 상생정치를 위해 정기적인 업무협의 자리를 빨리 만들어야 한다”고 밝혔다.

이들은 이날 도청 프레스센터에서 ‘경남도민들께 드리는 더불어민주당 국회의원 당..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605121212001&code=910100
01100201.20160512162756001,20160512,국민일보,김경택 기자,與 당권 대권 분리 규정 수정되나,"여당에서 당권과 대권을 분리시킨 당 규정을 수정해야 한다는 목소리가 커지고 있다. 총선 참패 이후 여권의 차기 대권 후보들이 상당수 낙선하거나 내상을 크게 입은 만큼 잠룡을 키워낼 수 있는 여건을 만들자는 것이다. 
 
 새누리당 한 중진의원은 12일 “대권 후보들의 역량을 키울 수 있도록 혁신위원회가 현행 규정을 수정할 필요가 있다”고 말했다. 다른 ..",http://news.kmib.co.kr/article/view.asp?arcid=0010610010&code=61111111&cp=kd
01101001.20160512194448442,20160512,한겨레,성연철,새누리 쇄신 방안에 ‘계파 갈등’ 또 폭발,"새누리당 정진석 원내대표가 확정한 당 쇄신 방안이 또다시 당내 갈등을 일으키고 있다. 비상대책위원회 역할을 ‘관리형’으로 제한하고 당 쇄신 작업은 별도 혁신위원회에 맡기겠다는 투트랙 방안이 총선 참패 책임론을 희석하기 위한 친박근혜계의 뜻을 반영했다는 것이다.

 비박계 의원들은 12일 잇따라 라디오 방송에 출연해, 전날 정 원내대표와 중진의원들이 결정..",http://www.hani.co.kr/arti/politics/assembly/743614.html
01101001.20160512210704332,20160512,한겨레,최상원,경남 더민주 당선자 3인 “무상급식 되살릴 것”,"더불어민주당 소속 경남지역 국회의원 당선자 3명이 첫 의정활동으로 학교급식법 개정을 추진하겠다고 밝혔다. 지난해 지역 학부모들을 분노케 했던 이른바 ‘경남발 학교 무상급식 중단 사태’의 정치적 해결이 기대된다.

 민홍철(김해갑) 김경수(김해을) 서형수(양산을) 더민주 경남지역 국회의원 당선자는 12일 경남도청 프레스센터와 경남도교육청 소회의실에서 잇따..",http://www.hani.co.kr/arti/society/area/743678.html
01100201.20160513183455001,20160513,국민일보,김경택 기자,새누리 ‘당권 대권 분리’ 규정 바꾸나,"여당에서 당권과 대권을 분리시킨 당 규정을 수정해야 한다는 목소리가 커지고 있다. 총선 참패 이후 여권의 차기 대권 후보들이 상당수 낙선하거나 내상을 크게 입은 만큼 잠룡을 키워낼 수 있는 여건을 만들자는 것이다. 
 
 새누리당 한 중진의원은 12일 “대권 후보들의 역량을 키울 수 있도록 혁신위원회가 현행 규정을 수정할 필요가 있다”고 말했다. 다른 ..",http://news.kmib.co.kr/article/view.asp?arcid=0923529282&code=11121100
01100101.20160513221426888,20160513,경향신문,김정훈 기자 jhkim@kyunghyang.com,경남개발공사 전 사장도 ‘교육감 소환 허위서명 가담’ 경찰 영장,"경남교육감 주민소환 청구 허위서명에 가담한 경남개발공사 전 사장에 대해 경찰이 사전 구속영장을 신청했다. 

경남 창원서부경찰서는 13일 박종훈 경남교육감 주민소환 청구 허위서명에 가담한 혐의(사문서 위조)로 박재기 전 경남개발공사 사장에 대해 사전구속영장을 신청했다.

홍준표 경남도지사 측근인 박 전 사장은 이미 구속기소된 박치근 전 경남FC 대표(구..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605132206001&code=620100
01100501.20160516140454413,20160516,문화일보,유민환,‘눈먼 돈’ 특수활동비 내역 공개해야,"19代 발의법안 자동폐기될 판



국회 특수활동비는 세비 중 구체적인 사용처를 알 수 없는 대표적인 ‘눈먼 돈’이다. 실제로 의원들은 사용 내역을 밝힐 필요가 없다는 점을 악용해 특수활동비를 ‘쌈짓돈’처럼 생활비나 자녀유학비 등에 쓰고 있다. 이 때문에 ‘예산 절약하는 국회’를 만들기 위해서는 국회 특수활동비부터 공개해야 한다는 목소리가 높다.



..",
01100201.20160516080745001,20160516,국민일보,김영석 기자,"“문재인, 언론보도 급감 1.4%p하락” 오차범위 밖 안철수에 앞서","여론조사 전문기관 리얼미터(대표 이택수)의 2016년 5월 2주차 주간집계(9~13일, 무선 60%, 유선 40% 전국 2,526명)에서 여야 차기 대선주자 지지도의 경우 문재인 더불어민주당 전 대표가 언론보도의 급감으로 1.4%p 하락한 25.7%를 기록했으나, 안철수 국민의당 상임대표를 여전히 오차범위 밖에서 앞서며 18주 연속 1위 자리를 지킨 것..",http://news.kmib.co.kr/article/view.asp?arcid=0010617461&code=61111111&cp=kd
01100201.20160516101344001,20160516,국민일보,김영석 기자,"“유승민,대통령 책임론 앞세워 부활 조짐” 6위로 두계단 상승","여론조사 전문기관 리얼미터(대표 이택수)의 2016년 5월 2주차 주간집계(9~13일, 무선 60%, 유선 40% 전국 2,526명)에서 무소속 유승민 의원의 부활이 눈에 띈다. 
 
여야 차기 대선주자 지지도에서 최근 대구 경제 불황에 대해 지역 출신 대통령 책임론을 거론했던 유승민 전 새누리당 원대대표는 대구 경북(▲4.1%p, 3.4%→7.5%)과..",http://news.kmib.co.kr/article/view.asp?arcid=0010617969&code=61111111&cp=kd
01101001.20160516173358557,20160516,한겨레,최상원,홍준표 지사 최측근 박재기 전 경남개발공사 사장 구속,"경남도교육감 주민소환투표 청구 무더기 허위 서명 사건을 수사하고 있는 경남 창원서부경찰서는 16일 병원에서 구한 환자 개인정보 등을 이용해 허위 서명을 지시한 혐의(개인정보보호법 위반, 사문서 위조 등)로 박재기(58) 전 경남개발공사 사장을 구속했다.

 박씨는 지난해 11월초 박치근(57 구속) 당시 경남에프시 대표이사와 함께 허위 서명 계획을 세운..",http://www.hani.co.kr/arti/society/area/744029.html
01100201.20160516174255001,20160516,국민일보,창원=이영재 기자,'교육감 주민소환 허위서명' 가담 홍준표 측근 박재기 전 개발공사 사장 구속,"박종훈 경남교육감 주민소환 청구 허위 서명부 작성에 가담한 혐의(사문서 위조)로 경찰이 사전 구속영장을 신청한 박재기(58) 전 경남개발공사 사장이 16일 구속됐다. 
 
 창원지법 영장전담 서동칠 부장판사는 도주 우려가 있다는 이유로 구속영장을 발부했다. 
 
 박씨는 지난해 11월초 박치근(57 구속) 당시 경남에프시 대표이사와 함께 허위 서명 계획..",http://news.kmib.co.kr/article/view.asp?arcid=0010619628&code=61121111&cp=kd
01100101.20160516182505717,20160516,경향신문,김정훈 기자 jhkim@kyunghyang.com,‘교육감 주민소환 허위서명’ 홍준표 측근 박재기 구속,"경남 창원서부경찰서는 16일 박종훈 경남교육감 주민소환 청구 허위 서명부 작성에 가담한 혐의(사문서 위조)로 박재기 전 경남개발공사 사장(58)을 구속했다고 밝혔다.

이날 서동칠 창원지법 영장전담 부장판사는 도주 우려가 있다는 이유로 구속영장을 발부했다. 박 전 사장은 경남개발공사 사장 재임 당시인 지난해 말 박권범 전 경남도 보건복지국장에게 교육감 ..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605161815001&code=940202
01100501.20160517145853385,20160517,문화일보,박천학,영남권 신공항 유치 氣싸움 재점화,"내달 중순 입지 발표 앞두고 

“반드시 가덕도에 건설해야” 

서병수 부산시장 이달초 주장 



대구 경남 울산 경북 

4개 시 도지사 긴급 성명 

“부산은 유치 활동 중단하라” 



전문가 “양쪽 공세 자제해야”



다음 달 중순에 나올 영남권 신공항 입지 발표를 앞두고 부산과 대구 경남 울산 경북 간의 기싸움이 다시 불붙고 있다.(문화일보..",
01100101.20160517152730295,20160517,경향신문,김정훈 기자 jhkim@kyunghyang.com,"홍준표, 신공항 곤란한 질문 ‘당황하지 않고 끝’ 개콘 유행어 연상","홍준표 경남도지사가 17일 영남권 4개 시 도지사의 성명을 발표하면서 받은 기자들의 질문에 <개그콘스트>의 ‘당황하지 않고, 끝’이라는 유행어를 연상케 하는 답변을 했다. 홍 지사가 공식적인 자리에서 처음 쓴 “끝”이라는 표현에는 ‘곤란한 질문에 답변할 수 없다. 서로 자중하자. 알면서 그런 식의 질문 하느냐. 정부 결정에 따라야 한다’라는 복합적 의미..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605171515001&code=910100
01101001.20160517213202846,20160517,한겨레,최상원,부산-영남4곳 ‘신공항 신경전’ 재점화,"영남권 신공항 입지 결정을 한 달가량 앞두고, 부산을 뺀 영남 4개 시 도 광역자치단체장들이 신공항 유치 활동을 즉각 중단하라고 부산시에 경고하고 나섰다. 부산시는 부산을 뺀 영남 4개 시 도 단체장들이 모였다는 것 자체가 또다른 신공항 유치 활동이라며 강한 불쾌감을 드러냈다.

 대구 울산 경남 경북 등 부산을 뺀 영남 4개 시 도 시장과 도지사들은 ..",http://www.hani.co.kr/arti/society/area/744338.html
01100201.20160518192655001,20160518,국민일보,대구·밀양=최일영 이영재 기자,“신공항 부산 떨지 마라” 釜山에 경고,"남부권 신공항 용역(입지) 결과 발표가 한 달여 앞으로 다가오자 영남권 광역단체들의 갈등이 고조되고 있다. 점점 수위를 높여가며 가덕도 당위성을 주장하는 부산과 신공항 유치전 중단을 요구하는 대구 경북 경남 울산 간의 대립이 심화되고 있는 것이다. 이를 두고 ‘지역이기주의’의 극치라는 비판이 만만치 않다. 
 
 권영진 대구시장, 김관용 경북도지사, 홍..",http://news.kmib.co.kr/article/view.asp?arcid=0923534174&code=11131100
01100501.20160519153519314,20160519,문화일보,박영수,"경남교육감 주민소환 허위서명, 도청 직원 등 10명 추가 입건",‘박종훈 경남도교육감 주민소환운동’ 허위 서명부 작성과 관련해 개인정보를 불법 수집한 전 현직 경남도청 공무원과 제공자들이 추가 검거됐다. 창원서부경찰서는 19일 개인정보를 수집해 교육감 주민소환청구인 서명부 위조자들에게 제공한 혐의(개인정보보호법 위반 및 사문서 위조)로 전 경남도복지보건국장 A(57) 씨와 도지사 비서실 별정직 직원 등 전 현직 도청..,
01100201.20160519090045001,20160519,국민일보,김영석 기자,"“뒤로 숨지 않겠다”박원순, 대권 도전 시사 뒤 급상승 4위","여야 차기 대선주자 지지도에서는 문재인 더민주 전 대표는 1.9%p 하락한 반면, 안철수 국민의당 상임대표는 1.2%p 상승한 것으로 나타났다. 
 
여론조사 전문기관 리얼미터(대표 이택수)가 2016년 5월 16일부터 18일까지 3일간 무선전화(60%)와 유선전화(40%)로 전국 1,518명을 대상으로 실시한 주중집계에서 여야 차기 대선주자 지지도의 ..",http://news.kmib.co.kr/article/view.asp?arcid=0010628236&code=61111111&cp=kd
01100201.20160519104555001,20160519,국민일보,창원=이영재 기자,경남교육감 주민소환 서명부 위조 33명 입건 3명 구속,"지난해 12월부터 5개월간 경남교육감 주민소환청구인 서명부 위조사건을 수사해온 경찰이 최종 수사결과를 발표했다. 
 
 경남 창원서부경찰서는 19일 경남교육감 주민소환 서명 위조사건 관련, 전 경남개발공사 대표 박 모(58)씨와 전 경남 FC 대표 박모(57)씨, 총괄팀장 정모(38)씨 등 3명을 개인정보보호법 위반 등 혐의로 구속했다. 
 
 또 이들..",http://news.kmib.co.kr/article/view.asp?arcid=0010628756&code=61121111&cp=kd
01100101.20160519121818841,20160519,경향신문,김정훈 기자 jhkim@kyunghyang.com,홍준표 턱밑까지만 간 ‘교육감 소환 허위서명’ 수사,"경남 창원서부경찰서는 29일 “박종훈 경남교육감 주민소환 청구인 서명부 허위서명과 관련해 박권범 전 경남도 복지보건국장을 포함한 경남도청 소속 공무원 4명도 허위서명에 가담해 불구속 입건했다”고 밝혔다.

경찰은 이날 ‘교육감 소환 허위서명’ 수사결과를 발표하면서 이같이 밝혔다. 경찰은 “경남도청 소속 공무원 중에는 경남도지사 비서실 별정직 직원 2명과..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605191205001&code=940202
01101001.20160519152432137,20160519,한겨레,김태규,홍준표 “박근혜 대통령 밟고 갈 필요도 없다”,"무상급식 폐기로 인한 주민소환과 ‘성완종 리스트’ 불법 정치자금(1억원) 수수로 인한 재판. 겹겹의 곤경에 처해 있는 홍준표 경남지사가 과의 인터뷰를 통해 입을 열었다. 그는 “총선에서 졌기 때문에 오히려 정권을 다시 잡을 기회가 생길지 모른다”며 ‘희망’을 얘기했다. 

 5월9일 이뤄진 인터뷰를 보면, 홍 지사는 “대한민국 국민들은 절대로 힘을 한 ..",http://www.hani.co.kr/arti/politics/polibar/744555.html
01101001.20160519212836518,20160519,한겨레,최상원,홍준표 지사 개입 여전히 물음표,"경남도교육감 주민소환투표 청구 허위서명 사건 수사 결과, 경남도 복지보건 담당 간부가 관할 병원 단체 등을 압박해 환자와 회원 개인정보를 확보한 뒤 허위서명에 사용하도록 홍준표 경남지사 측근에게 전달하고, 홍 지사의 비서 2명은 허위서명 작업에 직접 참여한 것으로 드러났다.

 이 사건을 수사한 경남 창원서부경찰서는 19일 허위서명을 주도한 박재기(58..",http://www.hani.co.kr/arti/society/area/744677.html
01100201.20160522082044001,20160522,국민일보,김영석 기자,"“남경필,여권 차기 후보 급부상...4위” 1위는 오세훈","CBS 김현정의 뉴스쇼 의뢰로 여론조사 전문기관 리얼미터(대표 이택수)가 실시한 2016년 5월 정례 여권 차기 대선주자 지지도 조사에서, 오세훈 전 시장이 두 계단 상승해, 유승민 전 새누리당 원내대표를 제치고 선두로 올라섰다. 
 
여권 부문에서 남경필 지사가 지난 달 8위에서 네 계단 상승한 4위로 올라섰다. 
 
여권 차기 대선주자 지지도 부문에..",http://news.kmib.co.kr/article/view.asp?arcid=0010635925&code=61111111&cp=kd
01100201.20160522115355001,20160522,국민일보,포항=김재산 기자,"제10회 호 영남 한마음대회, 2일 창원 창신대서 열린다","대구, 경북, 부산, 울산, 경남, 광주, 전남, 전북 등 영 호남 8개 광역시 도 기독교인 2400여명이 경남 창원에서 동서화합, 국민통합, 평화통일을 위해 기도로 힘을 모은다. 
 
 이번 대회는 일제 신사참배로 인해 분열된 교단 대표들이 나와 회개에 이어 사상 처음으로 사과하고 이를 용서하는 것과 동 서 남 북을 이어주는 ‘사랑의 원자탄’ 손양원 ..",http://news.kmib.co.kr/article/view.asp?arcid=0010636315&code=61221521&cp=kd
01100201.20160523080044003,20160523,국민일보,김영석 기자,"“10%넘는 새누리 후보 한명도 없다” 박원순,4위 등극","여론조사 전문기관 리얼미터(대표 이택수)의 2016년 5월 3주차 주간집계(16~20일, 무선 60%, 유선 40% 전국 2,531명)에서 여야 차기 대선주자 지지도의 경우 문재인 더불어민주당 전 대표가 1.5%p 하락한 24.2%를 기록했으나, 안철수 국민의당 상임대표를 여전히 오차범위 밖에서 앞서며 19주 연속 1위 자리를 지킨 것으로 조사됐다. 
..",http://news.kmib.co.kr/article/view.asp?arcid=0010637667&code=61111111&cp=kd
01100201.20160523090255001,20160523,국민일보,한장희 기자,"홍준표 ""트럼프는 이명박 전 대통령과 같은 부류""","홍준표 경남지사는 23일 막말 좌충우돌로 대통령으로서의 자질에 의문이 제기되고 있는 미국 공화당의 사실상 대선 후보인 도널드 트럼프를 사업가 출신 이명박 전 대통령에 비유했다. 
 
 홍 지사는 이날 자신의 페이스북에 올린 글을 통해 “우리는 이미 트럼프와 같은 사업가출신 대통령을 경험한 일이 있다”며 “이명박 대통령이 바로 사업가출신 대통령”이라고 말..",http://news.kmib.co.kr/article/view.asp?arcid=0010637769&code=61111111&cp=kd
01100201.20160523121944001,20160523,국민일보,김영석 기자,"“문재인, 영호남 지지층 이탈 불구 19주 연속 1위”","여론조사전문기관인 리얼미터가 16일부터 20일까지 5일간 전국 19세 이상 유권자 2531명을 대상으로 여야 차기 대선주자 지지도를 조사한 결과 문재인 더불어민주당 전 대표가 1.5%p 하락한 24.2%를 기록했으나, 안철수 국민의당 상임대표를 여전히 오차범위 밖에서 앞서며 19주 연속 1위 자리를 지킨 것으로 조사됐다. 
 
문 전 대표의 지지율은 일..",http://news.kmib.co.kr/article/view.asp?arcid=0010638633&code=61111111&cp=kd
01100101.20160523191523699,20160523,경향신문,김정훈 기자 jhkim@kyunghyang.com,진주유등축제 유료화 찬반 논란 가열,"경남 진주시 남강변 일대에서 열리는 진주유등축제가 지난해 전면 유료화하자 찬반 논란이 가열하고 있다.

진주시는 국 도비 지원 중단과 세계 5대 축제 진입에 대비한 축제 재정 자립화를 위해 지난해 10월 남강유등축제를 전면 유료화했다. 당시 어른 기준 1명당 1만원의 입장료를 받았고 진주시민에게는 특별혜택으로 1명당 무료 초대권 1장을 줬다. 무료 초대..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605231900001&code=620116
01101001.20160524170115852,20160524,한겨레,최상원,"홍준표 지사, 노무현 전 대통령 추도식 불참 이유 “의로운 죽음 아니었다”","홍준표 경남지사는 해마다 5월23일 경남 김해시 봉하마을에서 열리는 노무현 전 대통령 추도식에 도지사 취임 이후 한번도 참석하지 않는 이유에 대해선 “의로운 죽음이 아니었다. 그래서 안간다”고 말했다. 홍 지사는 의로운 죽음이 아니라고 생각하는 이유를 묻는 질문에 대해선 “논쟁하지 않겠다”며 답을 하지 않았다.

 홍 지사는 24일 경남도 출입기자단과 ..",http://www.hani.co.kr/arti/society/area/745200.html
01100101.20160524172137571,20160524,경향신문,김정훈 기자 jhkim@kyunghyang.com,홍준표 “새누리당이 반기문에 눈길 보내는 연유 ”,"홍준표 경남도지사가 24일 “새누리당이 반기문 유엔 사무총장에 눈길을 보내는 연유는 이미 만들어진 후보를 내는 이익집단이기 때문”이라는 분석을 내놓았다. 홍 지사는 새누리당이 반기문 총장에게 시그널을 보내고 있지만 성사 여부는 불투명할 것으로 전망했다.

홍 지사는 이날 경남도청 출입기자 오찬간담회에서 이같이 밝혔다. 홍 지사는 반 총장에 대한 새누리당..",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605241711001&code=910100
01101001.20160524214643702,20160524,한겨레,최상원,‘주민소환 투표’ 의식한 홍준표 지사 “못마땅한 것 있더라도 이해해주길”,"“조금 못마땅한 것이 있더라도 경남 발전을 위해 일하다 생긴 이견이라 생각하고 이해해주시길 바랍니다.”

 홍준표 경남지사는 24일 경남도 출입기자단과 점심식사 자리를 마련해 “6월1일부터는 경남에 좋은 일만 있을 것”이라며 이렇게 말했다. ‘조금 못마땅한 것’이 무엇인지 구체적으로 밝히지 않았으나, 현재 진행되고 있는 자신에 대한 주민소환투표 추진운동..",http://www.hani.co.kr/arti/society/area/745328.html
01100501.20160525141239894,20160525,문화일보,,홍준표 지사가 이끈 ‘경남道 빚 0’ 돋보인다,"경남도(道)가 지방자치단체의 ‘과도한 부채’ 해법에 전범(典範)을 보이고 있다. 지역발전기금에서 빌려 쓴 원금과 이자 957억 원이 포함된 추가경정예산안이 24일 경남도의회를 통과함으로써 오는 31일 해당 원리금을 상환하면 채무가 전혀 없게 되는 것이다. 홍준표 지사가 이끈 ‘경남도 빚 0’은 전국 광역자치단체 최초의 일이어서 더 돋보인다.



홍 지..",
01100501.20160525144420082,20160525,문화일보,박영수,김해 거제 “밀양대신 가덕도 지지” 경남 균열,"김해의회 “밀양 선정땐 피해” 

홍준표 지사 “집단행동 유감”



영남권 신공항 입지를 놓고 부산과 대구의 ‘중간지대’인 경남에서 균열이 발생하고 있다. 경남도는 ‘밀양’ 지지파로, 부산과 가까운 지역의 시의회와 야권 지역위원회는 ‘가덕도’ 지지파로 갈라져 두 목소리가 나오고 있다.



더불어민주당 창원 진해구, 거제, 통영 고성 지역위원장 등은 ..",
